match_set,score_set,brand_set
VALLS,100,"CERDANYOLA DEL VALLÈS, BARBERÀ DEL VALLÈS, PARETS DEL VALLÈS, LLINARS DEL VALLÈS, FRANQUESES DEL VALLÈS, LES, ROCA DEL VALLÈS, LA, CONSELL COMARCAL DEL VALLÈS ORIENTAL, MONTORNÈS DEL VALLÈS, CONSELL COMARCAL DE VALLÈS OCCIDENTAL, MOLLET DEL VALLÈS, SANT CUGAT DEL VALLÈS, BENIFAIRÓ DE LES VALLS, BADIA DEL VALLÈS, QUART DE LES VALLS"
VALLADOLID,100,DIPUTACIÓN PROV. DE VALLADOLID
VALENCIA DE DON JUAN,100,VALENCIA
BARCELONA,100,AREA METROPOLITANA DE BARCELONA
VALENCIA DE ALCÁNTARA,100,"VALENCIA, ALCÁNTARA"
VALENCIA,100,DIPUTACIÓN PROV. DE VALENCIA
"BAÑEZA, LA",100,BAEZA
UHARTE ARAKIL,100,ARAKIL
TÀRBENA,100,"MANCOMUNIDAD DE SERVICIOS SOCIALES Y DE CARÁCTER CULTURAL DE CALLOSA D'EN SARRIÀ, POLOP, TÀRBENA, BOLULLA, BENIMANTELL, CONFRIDES, EL CASTELL DE GUADALEST, BENIFATO Y BENIARDÁ"
TOUS,100,SANT MARTÍ DE TOUS
TORRES TORRES,100,"TORRES DE COTILLAS, LAS, CAÑETE DE LAS TORRES"
TORELLÓ,100,SANT VICENÇ DE TORELLÓ
VALVERDE DE LEGANÉS,100,"LEGANÉS, VALVERDE"
TOLEDO,100,DIPUTACIÓN PROV. DE TOLEDO
CASTEJÓN DE VALDEJASA,100,CASTEJÓN
TARRAGONA,100,DIPUTACIÓN PROV. DE TARRAGONA
TARAZONA,100,COMARCA DE TARAZONA Y EL MONCAYO
SOT DE CHERA,100,CHERA
SORIA,100,DIPUTACIÓN PROV. DE SORIA
SEVILLA LA NUEVA,100,SEVILLA
SEVILLA,100,"DIPUTACIÓN PROV. DE SEVILLA, CUERVO DE SEVILLA, EL"
SENA DE LUNA,100,LUNA
SELVA,100,"CONSELL COMARCAL DE SELVA, CASSÀ DE LA SELVA, MAÇANET DE LA SELVA, RIUDELLOTS DE LA SELVA, FORNELLS DE LA SELVA, PORT DE LA SELVA, EL"
SEGOVIA,100,"DIPUTACIÓN PROV. DE SEGOVIA, SAN CRISTÓBAL DE SEGOVIA"
VALVERDE DE LA VERA,100,VALVERDE
VALVERDE DEL MAJANO,100,VALVERDE
SANTA OLIVA,100,OLIVA
"VILLAR DE ARNEDO, EL",100,ARNEDO
ÒDENA,100,MANCOMUNITAT INTERMUNICIPAL DE LA CONCA D'ÒDENA
"ALCÚDIA DE CRESPINS, L'",100,ALCÚDIA
"ALCÚDIA, L'",100,"ALCÚDIA, ALCÚDIA DE CRESPINS, L'"
ÁVILA,100,"VILA-SECA, VILA DE CRUCES, BARCO DE ÁVILA, EL, VILLAJOYOSA/VILA JOIOSA, LA, VILA-REAL"
ÁLORA,100,LORA DEL RÍO
ZARAGOZA,100,"DIPUTACIÓN PROV. DE ZARAGOZA, MANCOMUNIDAD CENTRAL DE ZARAGOZA, COMARCA CENTRAL ZARAGOZA"
ZAMORA,100,DIPUTACIÓN PROV. DE ZAMORA
YUNQUERA DE HENARES,100,YUNQUERA
VÉLEZ-MÁLAGA,100,MÁLAGA
"VISO, EL",100,"VISO DEL ALCOR, EL"
VILLAVICIOSA DE ODÓN,100,VILLAVICIOSA
VILLAMIEL DE TOLEDO,100,TOLEDO
VERA,100,"VALVERDE DE LA VERA, JARAÍZ DE LA VERA"
VILLAMAYOR DE GÁLLEGO,100,VILLAMAYOR
VILLAMARTÍN DE CAMPOS,100,"CAMPOS, VILLAMARTÍN"
VILLALUENGA DE LA SAGRA,100,SAGRA
VILLAFRANCA DEL BIERZO,100,VILLAFRANCA
VILLAFRANCA DE LOS BARROS,100,VILLAFRANCA
VILLAFRANCA DE CÓRDOBA,100,"CÓRDOBA, VILLAFRANCA"
ARAGÓN,100,ALHAMA DE ARAGÓN
"ARBOÇ, L'",100,ARBO
VILLAFRANCA,100,"PALACIOS Y VILLAFRANCA, LOS"
"VICTORIA, LA",100,"RINCÓN DE LA VICTORIA, VICTORIA DE ACENTEJO, LA"
VIANA DE CEGA,100,VIANA
SANTA PAU,100,PAU
TERUEL,100,"DIPUTACIÓN PROV. DE TERUEL, COMARCA COMUNIDAD DE TERUEL"
CANGAS DEL NARCEA,100,CANGAS
SAN FERNANDO DE HENARES,100,SAN FERNANDO
SAN VICENTE DE ALCÁNTARA,100,ALCÁNTARA
CALAHORRA DE BOEDO,100,CALAHORRA
SALAMANCA,100,DIPUTACIÓN PROV. DE SALAMANCA
SALAS BAJAS,100,SALAS
SANT PAU DE SEGÚRIES,100,PAU
SAGRA,100,CUBAS DE LA SAGRA
"ROZAS DE MADRID, LAS",100,MADRID
"RODA, LA",100,"RODA DE ANDALUCÍA, LA"
SAN MIGUEL DE SALINAS,100,SALINAS
SAN LORENZO DE EL ESCORIAL,100,"ESCORIAL, EL"
SAN JUAN DE LA RAMBLA,100,"RAMBLA, LA"
"RODA DE ANDALUCÍA, LA",100,ANDALUCÍA
SANTA EUGÈNIA DE BERGA,100,BERGA
ROCAFORT,100,"PONT DE VILOMARA I ROCAFORT, EL"
RIPOLLET,100,MANCOMUNIDAD INTERMUNICIPAL CERDANYOLA-RIPOLLET-MONTCADA
SAN CIBRAO DAS VIÑAS,100,DAS
CASTEJÓN DE SOS,100,CASTEJÓN
SAN BARTOLOMÉ DE TIRAJANA,100,SAN BARTOLOMÉ
SALLENT DE GÁLLEGO,100,SALLENT
SALVATERRA DE MIÑO,100,MIÑO
CABANILLAS DEL CAMPO,100,CABANILLAS
RIOJA,100,"LA RIOJA, BAÑOS DE RIOJA"
SALT,100,CONSORCI DE BENESTAR SOCIAL GIRONÈS-SALT
