brand_sort,score_sort,match_sort
DIPUTACIÓN PROV. DE GIRONA,84,DIPUTACIÓN PROV. DE JAÉN
CONSTANTINA,84,CONSTANTÍ
FIGUERES,84,FIGUERUELAS
LORANCA DE TAJUÑA,84,MORATA DE TAJUÑA
DIPUTACIÓN PROV. DE HUESCA,84,"DIPUTACIÓN PROV. DE PALENCIA, DIPUTACIÓN PROV. DE JAÉN"
DIPUTACIÓN PROV. DE ALICANTE,84,DIPUTACIÓN PROV. DE ALMERÍA
DIPUTACIÓN PROV. DE ALBACETE,84,"DIPUTACIÓN PROV. DE ALMERÍA, DIPUTACIÓN PROV. DE CÁCERES"
AZNALCÁZAR,84,AZNALCÓLLAR
SAN PABLO DE LOS MONTES,84,SAN ROMÁN DE LOS MONTES
SANT MARTÍ DE TOUS,84,SANTA MARTA DE TORMES
CHICLANA DE LA FRONTERA,84,CONIL DE LA FRONTERA
"PUERTO DE SANTA MARÍA, EL",84,"PUIG DE SANTA MARIA, EL"
"PRAT DE LLOBREGAT, EL",84,SANT FELIU DE LLOBREGAT
COMARCA DE ARANDA,84,COMARCA DE BAJO ARAGÓN
SANTA PAU,84,SANTA POLA
SANT POL DE MAR,84,SANTA MARIA D'OLÓ
SANT PERE DE RIBES,84,SANT PERE DE RIUDEBITLLES
CAMPELLES,84,CAPELLADES
ALBALAT DE LA RIBERA,84,ALDEADÁVILA DE LA RIBERA
CASTELLAR DE SANTIAGO,84,SANTIAGO DE COMPOSTELA
CONSELL COMARCAL DE ANOIA,84,CONSELL COMARCAL DE BAGES
"CARBALLIÑO, O",84,CARBALLO
VILLANUEVA DE LA SERENA,84,VILLANUEVA DE LA TORRE
CONSELL COMARCAL DE BERGUEDÀ,84,CONSELL COMARCAL DE CERDANYA
"ALBERCA, LA",84,"GALERA, LA"
CONSELL COMARCAL DE GARRIGUES,84,CONSELL COMARCAL DE GARROTXA
CONSELL COMARCAL DE GARROTXA,84,"CONSELL COMARCAL DEL GIRONÈS, CONSELL COMARCAL DE TARRAGONÈS"
SANT BOI DE LLOBREGAT,83,SANT CLIMENT DE LLOBREGAT
BLANES,83,LLANES
CANALS,83,CANGAS
SELLA,83,SEVILLA
SEVILLA,83,SILLA
AITONA,83,BAIONA
ARNEDO,83,LAREDO
SILLA,83,SILLEDA
